step,ecoli_like,bacillus_like,yeast_like,predator_microbe,resistant_variant,total
0,10.599532,10.95242,10.759246,4.213741,10.899525,47.424464
1,10.82935,11.119974,10.896829,4.18415,11.103724,48.134027
2,11.063829,11.28987,11.036004,4.154801,11.311502,48.856006
3,11.30302,11.462128,11.176784,4.125688,11.522897,49.590518
4,11.546979,11.636767,11.319183,4.096808,11.737951,50.337688
5,11.795767,11.813809,11.463213,4.068156,11.956708,51.097654
6,12.04945,11.993275,11.608888,4.03973,12.17921,51.870554
7,12.308096,12.175187,11.756221,4.011527,12.405506,52.656538
8,12.571775,12.359567,11.905226,3.983544,12.635642,53.455754
9,12.840559,12.546438,12.055914,3.955779,12.869668,54.268358
10,13.114522,12.735823,12.2083,3.928229,13.107631,55.094505
11,13.39374,12.927744,12.362397,3.900892,13.349582,55.934355
12,13.678287,13.122226,12.518218,3.873765,13.595572,56.788069
13,13.968242,13.319291,12.675777,3.846848,13.845652,57.65581
14,14.263681,13.518964,12.835087,3.820137,14.099873,58.537741
15,14.564682,13.721268,12.996161,3.793631,14.358288,59.434029
16,14.871325,13.926227,13.159012,3.767327,14.62095,60.344841
17,15.183689,14.133865,13.323654,3.741224,14.88791,61.270343
18,15.501853,14.344206,13.4901,3.715321,15.159223,62.210704
19,15.825898,14.557275,13.658364,3.689614,15.434942,63.166093
20,16.155904,14.773095,13.828458,3.664103,15.715121,64.13668
21,16.491952,14.99169,14.000396,3.638785,15.999812,65.122636
22,16.834122,15.213086,14.174192,3.613659,16.289072,66.124131
23,17.182497,15.437306,14.349857,3.588724,16.582953,67.141336
24,17.537157,15.664373,14.527406,3.563977,16.88151,68.174423
25,17.898184,15.894314,14.706851,3.539416,17.184798,69.223563
26,18.265659,16.12715,14.888206,3.515042,17.492871,70.288928
27,18.639665,16.362908,15.071483,3.490851,17.805784,71.37069
28,19.020281,16.601609,15.256696,3.466842,18.123591,72.469019
29,19.407591,16.84328,15.443856,3.443014,18.446347,73.584088
30,19.801676,17.087942,15.632978,3.419365,18.774107,74.716069
31,20.202617,17.335621,15.824073,3.395894,19.106925,75.865131
32,20.610495,17.586339,16.017155,3.372599,19.444856,77.031445
33,21.025392,17.840121,16.212236,3.349479,19.787954,78.215182
34,21.447387,18.096989,16.409328,3.326533,20.136274,79.416511
35,21.876563,18.356967,16.608444,3.303758,20.489869,80.635602
36,22.312998,18.620079,16.809596,3.281155,20.848794,81.872621
37,22.756774,18.886346,17.012796,3.25872,21.213102,83.127738
38,23.207969,19.155792,17.218057,3.236454,21.582846,84.401118
39,23.666662,19.428439,17.425389,3.214355,21.958081,85.692927
40,24.132933,19.70431,17.634806,3.192421,22.338859,87.003329
41,24.606859,19.983428,17.846319,3.170651,22.725232,88.332489
42,25.088517,20.265814,18.05994,3.149044,23.117253,89.680568
43,25.577985,20.551489,18.275679,3.127599,23.514974,91.047727
44,26.075339,20.840477,18.493549,3.106315,23.918447,92.434127
45,26.580655,21.132797,18.71356,3.08519,24.327722,93.839924
46,27.094007,21.428472,18.935724,3.064223,24.74285,95.265276
47,27.615469,21.727521,19.160051,3.043413,25.163882,96.710337
48,28.145115,22.029967,19.386553,3.022759,25.590866,98.175261
49,28.683018,22.335828,19.615239,3.00226,26.023853,99.660198
50,29.229248,22.645125,19.846121,2.981915,26.462889,101.165299
51,29.783876,22.957878,20.079208,2.961722,26.908024,102.69071
52,30.346973,23.274107,20.314511,2.941681,27.359305,104.236577
53,30.918606,23.59383,20.55204,2.92179,27.816777,105.803043
54,31.498843,23.917066,20.791803,2.902049,28.280487,107.390248
55,32.087751,24.243834,21.033812,2.882456,28.750479,108.998331
56,32.685394,24.574151,21.278074,2.863011,29.226798,110.627428
57,33.291837,24.908036,21.524599,2.843712,29.709488,112.277672
58,33.907143,25.245506,21.773397,2.824559,30.19859,113.949195
59,34.531373,25.586578,22.024475,2.80555,30.694146,115.642122
60,35.164587,25.931269,22.277842,2.786685,31.196198,117.356581
61,35.806846,26.279595,22.533507,2.767962,31.704784,119.092694
62,36.458205,26.631571,22.791478,2.749381,32.219943,120.850578
63,37.118721,26.987213,23.051761,2.730942,32.741714,122.630351
64,37.788449,27.346536,23.314366,2.712642,33.270132,124.432126
65,38.467443,27.709555,23.579298,2.694481,33.805234,126.256011
66,39.155753,28.076284,23.846566,2.676459,34.347053,128.102114
67,39.85343,28.446736,24.116175,2.658574,34.895623,129.970538
68,40.560523,28.820924,24.388133,2.640826,35.450976,131.861381
69,41.277078,29.198861,24.662445,2.623213,36.013142,133.77474
70,42.003141,29.58056,24.939119,2.605736,36.582151,135.710706
71,42.738755,29.966032,25.218158,2.588393,37.158031,137.669369
72,43.483962,30.355287,25.499569,2.571184,37.740809,139.650812
73,44.238802,30.748338,25.783358,2.554107,38.330511,141.655116
74,45.003315,31.145193,26.069528,2.537162,38.927159,143.682357
75,45.777536,31.545863,26.358084,2.520349,39.530778,145.73261
76,46.5615,31.950357,26.649031,2.503667,40.141387,147.805941
77,47.35524,32.358683,26.942372,2.487114,40.759006,149.902415
78,48.158788,32.770848,27.238112,2.470691,41.383654,152.022093
79,48.972172,33.186861,27.536253,2.454396,42.015346,154.165029
80,49.795421,33.606729,27.836798,2.43823,42.654099,156.331276
81,50.628559,34.030456,28.139751,2.422191,43.299924,158.52088
82,51.47161,34.45805,28.445112,2.406278,43.952833,160.733883
83,52.324596,34.889515,28.752886,2.390492,44.612836,162.970324
84,53.187537,35.324855,29.063072,2.374831,45.279941,165.230236
85,54.06045,35.764074,29.375673,2.359296,45.954155,167.513646
86,54.943351,36.207175,29.690689,2.343884,46.635482,169.820581
87,55.836254,36.654161,30.008121,2.328597,47.323924,172.151057
88,56.73917,37.105034,30.327969,2.313433,48.019483,174.50509
89,57.652111,37.559795,30.650233,2.298392,48.722158,176.88269
