step,ecoli_like,bacillus_like,yeast_like,predator_microbe,total
0,14.269794,14.035027,14.085496,5.666312,48.056629
1,14.659218,14.331409,14.302987,5.669429,48.963043
2,15.058521,14.633591,14.52356,5.672567,49.888239
3,15.467881,14.941661,14.747247,5.675725,50.832513
4,15.887486,15.255706,14.974081,5.678898,51.79617
5,16.317526,15.575815,15.204095,5.682086,52.779523
6,16.758199,15.90208,15.437325,5.685288,53.782892
7,17.209705,16.234592,15.673804,5.688502,54.806603
8,17.672251,16.573444,15.913565,5.691728,55.850987
9,18.146043,16.91873,16.156643,5.694964,56.91638
10,18.631292,17.270545,16.403072,5.698211,58.003121
11,19.128212,17.628984,16.652887,5.701468,59.111551
12,19.637017,17.994142,16.906122,5.704735,60.242016
13,20.157924,18.366118,17.162812,5.708012,61.394865
14,20.691151,18.745008,17.422991,5.711297,62.570447
15,21.236918,19.130911,17.686695,5.714591,63.769114
16,21.795445,19.523924,17.953957,5.717895,64.991221
17,22.366956,19.924147,18.224814,5.721206,66.237123
18,22.951672,20.331679,18.499299,5.724527,67.507177
19,23.549817,20.746619,18.777449,5.727855,68.80174
20,24.161614,21.169068,19.059297,5.731192,70.121172
21,24.787289,21.599126,19.344879,5.734537,71.465831
22,25.427064,22.036893,19.63423,5.73789,72.836077
23,26.081165,22.48247,19.927384,5.74125,74.23227
24,26.749816,22.935958,20.224377,5.744619,75.654769
25,27.433241,23.397456,20.525243,5.747995,77.103934
26,28.131662,23.867066,20.830017,5.751379,78.580124
27,28.845302,24.344888,21.138735,5.75477,80.083695
28,29.574383,24.831023,21.451429,5.758169,81.615005
29,30.319125,25.325572,21.768137,5.761576,83.174409
30,31.079747,25.828634,22.08889,5.764989,84.762261
31,31.856468,26.340309,22.413725,5.76841,86.378912
32,32.649503,26.860697,22.742674,5.771839,88.024714
33,33.459067,27.389898,23.075773,5.775274,89.700012
34,34.285371,27.92801,23.413055,5.778717,91.405153
35,35.128626,28.475131,23.754554,5.782167,93.140477
36,35.98904,29.031359,24.100303,5.785623,94.906325
37,36.866817,29.596792,24.450336,5.789087,96.703032
38,37.76216,30.171526,24.804685,5.792558,98.530929
39,38.675268,30.755656,25.163384,5.796036,100.390344
40,39.606337,31.349279,25.526466,5.79952,102.281602
41,40.55556,31.952488,25.893962,5.803012,104.205022
42,41.523127,32.565377,26.265905,5.80651,106.160919
43,42.509222,33.188038,26.642327,5.810015,108.149602
44,43.514027,33.820563,27.023259,5.813527,110.171376
45,44.537721,34.463042,27.408732,5.817045,112.226541
46,45.580476,35.115565,27.798778,5.820571,114.31539
47,46.642462,35.778219,28.193427,5.824103,116.438211
48,47.723844,36.451092,28.592709,5.827641,118.595286
49,48.82478,37.13427,28.996655,5.831186,120.786891
50,49.945427,37.827836,29.405292,5.834738,123.013293
51,51.085934,38.531873,29.818651,5.838296,125.274755
52,52.246446,39.246464,30.236761,5.841861,127.571532
53,53.427103,39.971688,30.659649,5.845433,129.903873
54,54.62804,40.707624,31.087343,5.849011,132.272017
55,55.849386,41.454348,31.51987,5.852595,134.676199
56,57.091263,42.211935,31.957258,5.856186,137.116643
57,58.353791,42.980459,32.399533,5.859784,139.593567
58,59.63708,43.759992,32.84672,5.863388,142.107181
