step,epithelial_like,immune_like,cancer_like,infected_like,total
0,10.498886,10.806563,10.816205,10.530362,42.652016
1,10.624805,10.826056,11.012404,10.452457,42.915722
2,10.752105,10.845655,11.211881,10.37522,43.18486
3,10.880796,10.86535,11.414677,10.298642,43.459465
4,11.010889,10.885134,11.620836,10.222715,43.739574
5,11.142397,10.905003,11.830398,10.14743,44.025228
6,11.27533,10.924952,12.043408,10.072779,44.316469
7,11.4097,10.944979,12.259908,9.998754,44.613341
8,11.54552,10.965081,12.479941,9.925347,44.915889
9,11.682799,10.985256,12.703551,9.852552,45.224158
10,11.82155,11.005502,12.930782,9.780361,45.538196
11,11.961785,11.025819,13.161679,9.708767,45.85805
12,12.103516,11.046204,13.396285,9.637763,46.183768
13,12.246753,11.066658,13.634646,9.567344,46.5154
14,12.391509,11.087179,13.876806,9.497501,46.852995
15,12.537796,11.107766,14.12281,9.42823,47.196603
16,12.685626,11.12842,14.372704,9.359524,47.546273
17,12.835009,11.149139,14.626532,9.291376,47.902057
18,12.985959,11.169923,14.884341,9.223782,48.264005
19,13.138487,11.190772,15.146175,9.156735,48.632169
20,13.292604,11.211685,15.412081,9.09023,49.0066
21,13.448323,11.232662,15.682103,9.024261,49.38735
22,13.605656,11.253702,15.956289,8.958823,49.77447
23,13.764614,11.274806,16.234683,8.893909,50.168013
24,13.92521,11.295972,16.517332,8.829516,50.568031
25,14.087455,11.317202,16.804281,8.765638,50.974576
26,14.25136,11.338494,17.095577,8.70227,51.387701
27,14.416939,11.359848,17.391264,8.639407,51.807457
28,14.584202,11.381264,17.691389,8.577043,52.233898
29,14.753163,11.402742,17.995997,8.515174,52.667076
30,14.923831,11.424282,18.305134,8.453796,53.107043
31,15.09622,11.445883,18.618845,8.392903,53.553851
32,15.270341,11.467545,18.937176,8.332491,54.007553
33,15.446206,11.489269,19.260171,8.272555,54.4682
34,15.623826,11.511054,19.587876,8.213091,54.935846
35,15.803214,11.532899,19.920335,8.154094,55.410542
36,15.984381,11.554806,20.257593,8.09556,55.892339
37,16.167338,11.576772,20.599694,8.037484,56.381289
38,16.352098,11.5988,20.946683,7.979863,56.877444
39,16.538672,11.620888,21.298603,7.922692,57.380854
